Sample_ID;TMPTMA;HEMA;PEGDA;8811;TPOL
250901TMPTMA;98,48;0;0;0;1,52
250901HEMA;0;98,85;0;0;1,15
250901PEGDA;0;0;98,51;0;1,49
N2509018811;0;0;0;98,44;1,56
250902TMPTMAHEMA;45,86;51,63;0;0;2,51
250902TMPTMAPEGDA;49,55;0;48,23;0;2,22
250902TMPTMA8811;50,31;0;0;47,63;2,06
250902HEMAPEGDA;0;49,26;48,37;0;2,37
250902HEMA8811;0;49,25;0;47,96;2,79
250902PEGDA8811;0;0;48,83;48,95;2,22
250904TMPTMAHEMAPEGDA;34,01;30,7;33,2;0;2,09
250904TMPTMAHEMA8811;30,33;34,03;0;34,03;1,61
250904TMPTMAPEGDA8811;31,16;0;31,43;35,15;2,26
250904HEMAPEGDA8811;0;32,24;33,6;31,95;2,21
250930TMPTMA1251;29,62;3,32;28,91;33,79;4,36
250930TMPTMA1552;35,16;2,08;25,76;33,17;3,83
250930TMPTMA1057;24,87;6,61;30,99;32,16;5,37
250930HEMA212;25,17;5,27;31,36;35,01;3,19
250930HEMA429;24,74;10,48;28,19;34,05;2,54
251002TMPTMA1078;25,64;22,47;17,79;29,44;4,66
251002TMPTMA1346;32,71;28,46;20,07;14,75;4,01
251002TMPTMA689;16,51;35,55;20;22,11;5,83
251002TMPTMA1451;35,49;15,33;25,97;18,37;4,84
251002TMPTMA1238;30,42;22,26;22,11;21,33;3,88
251002TMPTMA547;13,27;27,94;40,09;13,41;5,29
251002TMPTMA1044;25,32;12,88;43,77;13,39;4,64
251002TMPTMA530;13;26,98;35,69;19,35;4,98
251002TMPTMA813;20,2;12,55;32,11;30,62;4,52
251002TMPTMA546;13,64;31,64;36,69;13,09;4,94
251016TMPTMA808;9,74;19,48;19,34;49,01;2,43
251016TMPTMA820;9,93;39,42;19,58;29,01;2,06
251020TMPTMA829;9,91;28,36;19,52;37,99;4,22
251020TMPTMA1201;14,66;34,2;14,87;33,51;2,76
251021HEMA3207;9,97;38,99;24,63;24,4;2,01
251021TMPTMA1585;19,48;29,47;14,7;34,37;1,98
251022TMPTMA458;5,55;34,12;48,43;9,88;2,02
251022TMPTMA2009;24,31;10,09;5,41;58,25;1,94
N25102888112836;18,6;13,56;0;65,62;2,22
N25102888112801;10,08;19,61;0;68,33;1,98
N25102888112834;0;19,43;10,16;68,24;2,17
N25102888112812;19,41;0;11,53;66,01;3,05
251028HEMA816;68,2;19,81;0;10;1,99
251028HEMA806;68,6;19,52;9,95;0;1,93
251029HEMA2830;9,77;68,46;19,59;0;2,18
251029HEMA2815;0;68,33;19,37;10,05;2,25
251029HEMA2787;9,9;68,44;0;19,7;1,96
251029HEMA2792;0;68,23;10,02;19,55;2,2
N25103188112823;12,45;0;19,12;66,56;1,87
N25103188112807;0;10,72;19,68;67,62;1,98
251031TMPTMA2847;68,16;10,17;0;19,46;2,21
251031TMPTMA2862;68,03;9,44;19,54;0;2,99
251031TMPTMA2817;68,08;0;19,89;9,67;2,36
251031PEGDA2851;0;9,78;68,01;20,13;2,08
251103PEGDA420;68,33;0;10,19;19,47;2,01
251103HEMA793;58,7;19,35;0;19,74;2,21
251103HEMA795;10,11;19,41;10,11;58,42;1,95
251103HEMA418;9,66;10,12;10,24;67,98;2

