Sample_ID;Cure_time_s;Tg_K;Peak_postpol_K
250901TMPTMA;600;318,63;447,51
250901HEMA;60;out_of_range;450,59
250901HEMA;180;321,9;443,73
250901PEGDA;10;320,43;401,78
250901PEGDA;30;320,62;392,82
250901PEGDA;600;319,93;381,93
N2509018811;10;out_of_range;450,57
N2509018811;30;out_of_range;522,89
N2509018811;600;out_of_range;438,31
250902TMPTMAHEMA;30;out_of_range;447,47
250902TMPTMAHEMA;60;321,74;439,77
250902TMPTMAHEMA;600;329,26;429,78
250902TMPTMAPEGDA;10;out_of_range;437,6
250902TMPTMAPEGDA;30;319,62;452,53
250902TMPTMAPEGDA;600;327,61;431,31
250902TMPTMA8811;10;out_of_range;469,23
250902TMPTMA8811;600;321,59;434,62
250902HEMAPEGDA;30;out_of_range;432,87
250902HEMAPEGDA;600;323,76;404,48
250902HEMA8811;10;out_of_range;433,37
250902HEMA8811;30;out_of_range;442,44
250902HEMA8811;600;323,12;452,63
250902PEGDA8811;10;out_of_range;447,82
250904TMPTMAHEMAPEGDA;10;out_of_range;438,57
250904TMPTMAHEMAPEGDA;600;323,77;422,29
250904TMPTMAHEMA8811;30;out_of_range;438,57
250904TMPTMAHEMA8811;600;326,29;440,15
250904TMPTMAPEGDA8811;10;out_of_range;454,52
250904TMPTMAPEGDA8811;600;320,11;444,29
250904HEMAPEGDA8811;10;out_of_range;439,6
250904HEMAPEGDA8811;30;out_of_range;437,08
250904HEMAPEGDA8811;600;324,4;424,25
250930TMPTMA1251;15;319,95;447,5
250930TMPTMA1251;30;322,24;441,6
250930TMPTMA1552;15;303,27;458,54
250930TMPTMA1552;30;318,57;445,77
250930TMPTMA1057;15;315,28;440,54
250930TMPTMA1057;30;321,12;437,32
250930HEMA212;15;318,27;460,97
250930HEMA212;30;319,96;442,14
250930HEMA429;15;319,25;447,13
250930HEMA429;30;323,93;440,96
251002TMPTMA1078;200;323,62;456,46
251002TMPTMA1346;20;322,43;450,17
251002TMPTMA1346;200;325,28;454,27
251002TMPTMA689;20;323,09;435,99
251002TMPTMA689;200;326,91;454,91
251002TMPTMA1451;20;319,93;454,99
251002TMPTMA1451;200;323,74;413,75
251002TMPTMA1238;20;321,45;445,95
251002TMPTMA1238;200;324,13;412,47
251002TMPTMA547;35;324,61;414,46
251002TMPTMA547;70;325,92;407,26
251002TMPTMA1044;35;321,46;428,98
251002TMPTMA1044;70;324,63;457,62
251002TMPTMA530;35;323,94;448,94
251002TMPTMA530;70;324,61;417,78
251002TMPTMA813;35;322,94;456,43
251002TMPTMA813;70;323,44;425,78
251002TMPTMA546;35;324,45;417,8
251002TMPTMA546;70;323,46;418,31
251016TMPTMA808;5;out_of_range;434,69
251016TMPTMA808;8;out_of_range;443,11
251016TMPTMA808;10;out_of_range;445,37
251016TMPTMA808;12;out_of_range;447,34
251016TMPTMA808;15;out_of_range;450,68
251016TMPTMA808;20;out_of_range;451,3
251016TMPTMA808;25;out_of_range;441,18
251016TMPTMA808;30;out_of_range;452,45
251016TMPTMA808;45;320,26;434,96
251016TMPTMA808;60;318,61;437,3
251016TMPTMA820;15;out_of_range;434,96
251016TMPTMA820;20;out_of_range;440,8
251016TMPTMA820;25;out_of_range;436,2
251016TMPTMA820;30;out_of_range;437,86
251016TMPTMA820;35;out_of_range;438,64
251016TMPTMA820;40;out_of_range;439,8
251016TMPTMA820;50;out_of_range;438,14
251016TMPTMA820;80;out_of_range;435,67
251016TMPTMA820;100;323,25;427,26
251020TMPTMA829;8;out_of_range;431,82
251020TMPTMA829;10;out_of_range;429,09
251020TMPTMA829;12;out_of_range;434,38
251020TMPTMA829;15;out_of_range;432,27
251020TMPTMA829;20;out_of_range;434,58
251020TMPTMA829;25;313,36;433,92
251020TMPTMA829;30;320,55;436,56
251020TMPTMA829;45;323,74;437,11
251020TMPTMA829;60;320,12;461,6
251020TMPTMA1201;15;out_of_range;434,13
251020TMPTMA1201;20;323,28;437,69
251020TMPTMA1201;30;320,93;438,85
251020TMPTMA1201;35;322,09;438,65
251020TMPTMA1201;40;318,38;436,15
251020TMPTMA1201;60;321,78;438,32
251020TMPTMA1201;80;318,92;432,8
